Date,Open,Low,High,Close,Volume
"Nov 11, 2009",63.6,63.6,63.6,63.6,0
"Nov 12, 2009",63.6,63.6,63.6,63.6,14
"Nov 13, 2009",64.4,64.4,64.5,64.5,7
"Nov 14, 2009",63.7,63.7,64.5,64.5,26
"Nov 15, 2009",63.6,63.6,63.6,63.6,1
"Nov 16, 2009",63.6,63.6,63.6,63.6,0
"Nov 17, 2009",63.6,63.6,63.6,63.6,0
"Nov 18, 2009",63.6,63.6,63.6,63.6,0
"Nov 19, 2009",63.6,63.5,63.6,63.5,60
"Nov 20, 2009",63.5,63.5,63.5,63.5,20
"Nov 21, 2009",63.9,63.8,65,65,320
"Nov 22, 2009",63.2,63,63.2,63,2
"Nov 23, 2009",63,63,63,63,0
"Nov 24, 2009",63,63,63,63,0
"Nov 25, 2009",63,63,63,63,5
"Nov 26, 2009",63,63,63,63,0
"Nov 27, 2009",63,63,63,63,0
"Nov 28, 2009",63,63,63,63,0
"Nov 29, 2009",63,63,63,63,0
"Nov 30, 2009",63,63,63,63,30
"Dec 1, 2009",65,64.3,65,65,81
"Dec 2, 2009",63.2,63,63.2,63,16
"Dec 3, 2009",62.5,62,62.5,62,94
"Dec 4, 2009",61.5,61.5,61.5,61.5,2
"Dec 5, 2009",61.5,61.5,61.5,61.5,6
"Dec 6, 2009",61.2,61,61.2,61,31
"Dec 7, 2009",61.5,61.5,61.5,61.5,1
"Dec 8, 2009",61.5,61.5,61.5,61.5,0
"Dec 9, 2009",61,61,61.5,61.5,26
"Dec 10, 2009",61.5,61.5,61.5,61.5,0
"Dec 11, 2009",61.5,61.5,61.5,61.5,0
"Dec 12, 2009",61.5,61.5,61.5,61.5,10
"Dec 13, 2009",61.5,61.5,61.5,61.5,0
"Dec 14, 2009",61.5,61.5,61.5,61.5,0
"Dec 15, 2009",61.5,61.5,61.5,61.5,0
"Dec 16, 2009",61,61,61,61,15
"Dec 17, 2009",61,61,61,61,80
"Dec 18, 2009",61,61,61,61,0
"Dec 19, 2009",61.5,61.5,61.5,61.5,5
"Dec 20, 2009",61.5,61.5,61.5,61.5,0
"Dec 21, 2009",61,61,61,61,5
"Dec 22, 2009",61,61,61,61,0
"Dec 23, 2009",61,61,61,61,0
"Dec 24, 2009",61,61,61,61,3
"Dec 25, 2009",61,61,61.5,61.5,69
"Dec 26, 2009",61.5,61.5,61.5,61.5,0
"Dec 27, 2009",61,61,61,61,5
"Dec 28, 2009",61,61,61,61,2
"Dec 29, 2009",61,61,61,61,0
"Dec 30, 2009",61,61,61,61,0
"Dec 31, 2009",61,61,61,61,4
"Jan 1, 2010",61,61,61,61,2
"Jan 2, 2010",60.5,60.5,60.5,60.5,11
"Jan 3, 2010",60.5,60.5,60.5,60.5,0
"Jan 4, 2010",59.2,59,59.2,59,22
"Jan 5, 2010",59,59,59,59,0
"Jan 6, 2010",59,59,60,60,13
"Jan 7, 2010",60,60,60,60,0
"Jan 8, 2010",60,60,60,60,0
"Jan 9, 2010",59,59,59,59,15
"Jan 10, 2010",59,59,59,59,15
"Jan 11, 2010",59,59,59,59,0
"Jan 12, 2010",59,59,59,59,0
"Jan 13, 2010",59,59,59,59,0
"Jan 14, 2010",59,59,59,59,0
"Jan 15, 2010",59,59,59,59,0
"Jan 16, 2010",59,59,59,59,0
"Jan 17, 2010",60.3,60.3,60.9,60.9,3
"Jan 18, 2010",61,61,61,61,10
"Jan 19, 2010",61,61,64.9,64.9,381
"Jan 20, 2010",64.9,64.9,64.9,64.9,0
"Jan 21, 2010",61.2,59.9,61.2,59.9,297
"Jan 22, 2010",59.7,59.7,60,60,163
"Jan 23, 2010",60,60,60,60,0
"Jan 24, 2010",62.4,62.4,62.4,62.4,1
"Jan 25, 2010",60.1,60.1,60.1,60.1,1
"Jan 26, 2010",59.9,59.9,60,59.9,28
"Jan 27, 2010",59.9,59.9,59.9,59.9,25
"Jan 28, 2010",59.9,58.4,59.9,58.4,373
"Jan 29, 2010",58.4,58.4,58.4,58.4,0
"Jan 30, 2010",58.4,58.4,58.4,58.4,10
"Jan 31, 2010",58.4,58.4,58.4,58.4,0
"Feb 1, 2010",58.4,58.4,58.4,58.4,0
"Feb 2, 2010",58.4,58.4,58.4,58.4,0
"Feb 3, 2010",58.4,58.4,58.4,58.4,0
"Feb 4, 2010",58.1,58.1,58.1,58.1,1
"Feb 5, 2010",58.1,58.1,58.1,58.1,0
"Feb 6, 2010",58,58,58,58,5
"Feb 7, 2010",58.5,58.4,58.5,58.5,6
"Feb 8, 2010",58.5,58.5,58.5,58.5,0
"Feb 9, 2010",58.3,58.2,58.8,58.8,3
"Feb 10, 2010",58.8,58.8,58.8,58.8,0
"Feb 11, 2010",58.2,58,58.2,58,6
"Feb 12, 2010",58,58,58,58,0
"Feb 13, 2010",58,58,58,58,0
"Feb 14, 2010",58,58,58,58,0
"Feb 15, 2010",58.1,58.1,58.9,58.9,11
"Feb 16, 2010",58.1,58,58.5,58.4,55
"Feb 17, 2010",58.4,58.4,58.4,58.4,0
"Feb 18, 2010",57.4,57.2,57.4,57.2,5
"Feb 19, 2010",57.2,57.2,57.2,57.2,0
"Feb 20, 2010",58,57.1,58.5,58.5,7
"Feb 21, 2010",58.5,58.5,58.5,58.5,0
"Feb 22, 2010",58,57.9,58,58,10
"Feb 23, 2010",58,58,58,58,0
"Feb 24, 2010",57.9,57.9,57.9,57.9,6
"Feb 25, 2010",57.5,57.5,57.5,57.5,6
"Feb 26, 2010",57.5,57.5,57.5,57.5,0
"Feb 27, 2010",57,56.1,57.2,56.5,50
"Feb 28, 2010",56.5,56.5,56.5,56.5,0
"Mar 1, 2010",56,56,56.4,56,45
"Mar 2, 2010",56,56,56,56,0
"Mar 3, 2010",56,55.6,56.1,55.6,20
"Mar 4, 2010",55.6,55.6,55.6,55.6,0
"Mar 5, 2010",55.6,55.6,55.6,55.6,0
"Mar 6, 2010",55.8,55.8,56,55.9,33
"Mar 7, 2010",55.9,55.1,55.9,55.8,29
"Mar 8, 2010",55.9,55.8,55.9,55.9,6
"Mar 9, 2010",55.9,55.9,55.9,55.9,0
"Mar 10, 2010",55.9,55.9,55.9,55.9,0
"Mar 11, 2010",55.7,55.6,55.9,55.9,8
"Mar 12, 2010",55.9,55.9,55.9,55.9,0
"Mar 13, 2010",55.9,55.9,55.9,55.9,7
"Mar 14, 2010",55.9,55.9,55.9,55.9,0
"Mar 15, 2010",55.9,55.9,55.9,55.9,0
"Mar 16, 2010",57,56,57,57,5
"Mar 17, 2010",57,57,57,57,0
"Mar 18, 2010",55.8,55.7,55.8,55.7,7
"Mar 19, 2010",57,57,57,57,1
"Mar 20, 2010",57,57,57,57,0
"Mar 21, 2010",58,57,58,58,88
"Mar 22, 2010",58,58,58,58,0
"Mar 23, 2010",57.8,57,57.8,57,7
"Mar 24, 2010",57.9,57.8,57.9,57.8,2
"Mar 25, 2010",57.9,57.8,57.9,57.9,25
"Mar 26, 2010",58,57.9,58.1,58,51
"Mar 27, 2010",58,58,58,58,0
"Mar 28, 2010",58.9,58.6,58.9,58.9,10
"Mar 29, 2010",58.8,58.8,59,59,28
"Mar 30, 2010",59,59,59,59,0
"Mar 31, 2010",59,59,59,59,0
"Apr 1, 2010",59,59,59,59,0
"Apr 2, 2010",59,59,59,59,0
"Apr 3, 2010",59,59,59,59,0
"Apr 4, 2010",59,59,59,59,0
"Apr 5, 2010",58.7,58.7,58.7,58.7,2
"Apr 6, 2010",58.7,58.7,58.7,58.7,0
"Apr 7, 2010",58.7,58.7,58.7,58.7,0
"Apr 8, 2010",58.7,58,58.7,58,42
"Apr 9, 2010",58,58,58,58,25
"Apr 10, 2010",58,58,58,58,0
"Apr 11, 2010",58.4,58.4,58.5,58.5,6
"Apr 12, 2010",58.5,58.5,58.9,58.9,7
"Apr 13, 2010",58.9,58.9,58.9,58.9,0
"Apr 14, 2010",58.9,58.9,58.9,58.9,1
"Apr 15, 2010",58.9,58.9,58.9,58.9,0
"Apr 16, 2010",58.9,58.9,58.9,58.9,0
"Apr 17, 2010",58.5,57.7,58.6,57.7,75
"Apr 18, 2010",57.7,57.7,57.7,57.7,0
"Apr 19, 2010",57.7,57.7,57.7,57.7,0
"Apr 20, 2010",57.7,57.7,57.7,57.7,0
"Apr 21, 2010",57.7,57.7,57.7,57.7,0
"Apr 22, 2010",57.7,57.7,57.7,57.7,0
"Apr 23, 2010",57.7,57.7,57.7,57.7,0
"Apr 24, 2010",57.7,57.7,57.7,57.7,0
"Apr 25, 2010",58.9,58.8,58.9,58.9,2
"Apr 26, 2010",58.9,58.9,58.9,58.9,0
"Apr 27, 2010",58.9,58.9,58.9,58.9,0
"Apr 28, 2010",58.9,58.9,58.9,58.9,0
"Apr 29, 2010",58.9,58.9,58.9,58.9,0
"Apr 30, 2010",58.9,58.9,58.9,58.9,0
"May 1, 2010",58.9,58.9,58.9,58.9,0
"May 2, 2010",58.9,58.9,58.9,58.9,0
"May 3, 2010",58.9,58.9,58.9,58.9,0
"May 4, 2010",58.9,58.9,58.9,58.9,0
"May 5, 2010",59.5,58.7,59.5,59.5,100
"May 6, 2010",59.5,59.5,59.5,59.5,0
