Date,Open,Low,High,Close,Volume
"Nov 1, 2008",62.5,55,62.5,55,2
"Nov 2, 2008",55,55,55,55,0
"Nov 3, 2008",52.7,52.7,52.7,52.7,0
"Nov 4, 2008",55,55,55,55,11
"Nov 5, 2008",55,55,55,55,3
"Nov 6, 2008",55,55,60,60,86
"Nov 7, 2008",60,59.9,60,60,9
"Nov 8, 2008",60,60,65,63.9,133
"Nov 9, 2008",61.5,61.5,75,59.5,192
"Nov 10, 2008",60,60,60,60,0
"Nov 11, 2008",61,61,61,61,0
"Nov 12, 2008",64.9,64.9,64.9,64.9,1
"Nov 13, 2008",64,64,64,64,9
"Nov 14, 2008",64,64,64,64,9
"Nov 15, 2008",65.4,60,65.5,64,51
"Nov 16, 2008",64,64,65.8,63,5
"Nov 17, 2008",62,62,62,63,1
"Nov 18, 2008",63,63,63,63,0
"Nov 19, 2008",67.9,65.5,67.9,67.9,25
"Nov 26, 2008",68,68,68,68,0
"Nov 27, 2008",68,68,68,68,0
"Nov 28, 2008",68,68,68,68,0
"Nov 29, 2008",68,68,68,68,0
"Nov 30, 2008",68,68,68,68,0
"Dec 1, 2008",68,68,68,68,0
"Dec 2, 2008",67.4,67.4,79.9,79.9,116
"Dec 3, 2008",79.9,79.9,79.9,79.9,0
"Dec 4, 2008",67.5,67.5,67.5,67.5,1
"Dec 5, 2008",70,70,70,70,20
"Dec 6, 2008",65.8,65.8,65.8,65.8,1
"Dec 7, 2008",65.8,65.8,65.8,65.8,0
"Dec 8, 2008",65.8,65.8,65.8,65.8,0
"Dec 9, 2008",65.8,65.8,65.8,65.8,0
"Dec 10, 2008",65.8,65.8,65.8,65.8,0
"Dec 11, 2008",65.8,65.8,65.8,65.8,0
"Dec 12, 2008",65.8,65.8,65.8,65.8,0
"Dec 13, 2008",65.8,65.8,65.8,65.8,0
"Dec 14, 2008",65.8,65.8,65.8,65.8,0
"Dec 15, 2008",65.8,65.8,65.8,65.8,0
"Dec 16, 2008",67.8,67.8,67.8,67.8,2
"Dec 17, 2008",65,65,67.8,65,10
"Dec 18, 2008",65,65,65,65,0
"Dec 19, 2008",65,65,65,65,0
"Dec 20, 2008",65,65,65,65,0
"Dec 21, 2008",65,65,65,65,0
"Dec 22, 2008",65,65,65,65,0
"Dec 23, 2008",65,65,65,65,0
"Dec 24, 2008",65,65,65,65,0
"Dec 25, 2008",65,65,65,65,0
"Dec 26, 2008",66,66,66,66,1
"Dec 27, 2008",66,66,66,66,0
"Dec 28, 2008",66,66,66,66,0
"Dec 29, 2008",66,66,66,66,0
"Dec 30, 2008",66,66,66,66,0
"Dec 31, 2008",66,66,66,66,0
"Jan 1, 2009",66,66,66,66,0
"Jan 2, 2009",66,66,66,66,0
"Jan 3, 2009",68.8,68.8,68.8,68.8,1
"Jan 4, 2009",68.8,68.8,68.8,68.8,0
"Jan 5, 2009",68.8,68.8,68.8,68.8,0
"Jan 6, 2009",68.8,68.8,68.8,68.8,0
"Jan 7, 2009",68.8,68.8,68.8,68.8,0
"Jan 8, 2009",68.8,68.8,68.8,68.8,0
"Jan 9, 2009",68.8,68.8,68.8,68.8,0
"Jan 10, 2009",68.8,68.8,68.8,68.8,0
"Jan 11, 2009",68.9,68.9,68.9,68.9,3
"Jan 12, 2009",68.9,68.9,69.3,69.3,5
"Jan 13, 2009",70,69.9,70,70,41
"Jan 14, 2009",69,69,69,69,1
"Jan 15, 2009",69,69,69,69,3
"Jan 16, 2009",66.1,66.1,66.1,66.1,1
"Jan 17, 2009",66.1,66.1,66.1,66.1,0
"Jan 18, 2009",66.1,66.1,66.1,66.1,0
"Jan 19, 2009",66.1,66.1,66.1,66.1,0
"Jan 20, 2009",66.1,66.1,66.1,66.1,0
"Jan 21, 2009",66,65,66,65,9
"Jan 22, 2009",65,65,65,65,14
"Jan 23, 2009",65,65,65,65,0
"Jan 24, 2009",64,64,64,64,5
"Jan 25, 2009",64,64,64,64,0
"Jan 26, 2009",64,64,64,64,0
"Jan 27, 2009",64,64,64,64,0
"Jan 28, 2009",64,64,64,64,0
"Jan 29, 2009",64,64,64,64,0
"Jan 30, 2009",64,64,64,64,0
"Jan 31, 2009",64,64,64,64,0
"Feb 1, 2009",64,64,64,64,0
"Feb 2, 2009",63.7,59.5,63.7,59.5,22
"Feb 3, 2009",59.5,59.5,59.5,59.5,0
"Feb 4, 2009",59.5,59.5,59.5,59.5,0
"Feb 5, 2009",60.1,60.1,60.1,60.1,20
"Feb 6, 2009",60.1,58.5,60.1,58.5,31
"Feb 7, 2009",58.5,58.5,58.5,58.5,0
"Feb 8, 2009",58.5,58.5,58.5,58.5,0
"Feb 9, 2009",58.5,58.5,58.5,58.5,0
"Feb 10, 2009",58.5,58.5,58.5,58.5,0
"Feb 11, 2009",58.5,58.5,58.5,58.5,0
"Feb 12, 2009",62.9,62.9,62.9,62.9,1
"Feb 13, 2009",63,63,63,63,5
"Feb 14, 2009",63,63,63,63,0
"Feb 15, 2009",63,63,63,63,0
"Feb 16, 2009",63,63,63,63,0
"Feb 17, 2009",63,63,63,63,0
"Feb 18, 2009",63,63,63,63,0
"Feb 19, 2009",63,63,63,63,0
"Feb 20, 2009",63,63,63,63,0
"Feb 21, 2009",63,63,63,63,0
"Feb 22, 2009",63,63,63,63,0
"Feb 23, 2009",60.1,59.8,60.4,60.4,45
"Feb 24, 2009",60.4,60.4,60.4,60.4,20
"Feb 25, 2009",61,58.5,62,62,35
"Feb 26, 2009",61,61,61,61,1
"Feb 27, 2009",62,61,62,62,10
"Feb 28, 2009",61.5,61.5,61.5,61.5,2
"Mar 1, 2009",60.1,60.1,61.5,61.5,13
"Mar 2, 2009",60.1,60.1,61.8,60.6,28
"Mar 3, 2009",61.8,60.6,61.8,60.6,23
"Mar 4, 2009",61.9,61.9,61.9,61.9,2
"Mar 5, 2009",61.9,61.9,61.9,61.9,0
"Mar 6, 2009",60.6,60.6,60.7,60.6,50
"Mar 7, 2009",60.6,60.6,60.6,60.6,0
"Mar 8, 2009",60.6,60.6,60.6,60.6,0
"Mar 9, 2009",60.6,60.6,60.6,60.6,0
"Mar 10, 2009",60.6,60.6,60.6,60.6,5
"Mar 11, 2009",60.6,60.6,60.6,60.6,0
"Mar 12, 2009",60.6,60.6,60.6,60.6,0
"Mar 13, 2009",60.6,60.6,60.6,60.6,0
"Mar 14, 2009",60.6,60.6,60.6,60.6,11
"Mar 15, 2009",60.6,60.6,60.6,60.6,4
"Mar 16, 2009",60.6,60.6,60.6,60.6,0
"Mar 17, 2009",61,61,61,61,3
"Mar 18, 2009",61,61,61,61,0
"Mar 19, 2009",61.6,61,61.9,61,12
"Mar 20, 2009",60.7,60.6,60.7,60.6,3
"Mar 21, 2009",60.6,60.6,60.6,60.6,10
"Mar 22, 2009",60.6,60.6,60.6,60.6,0
"Mar 23, 2009",60.6,60.6,60.6,60.6,0
"Mar 24, 2009",60.7,60.7,60.7,60.7,3
"Mar 25, 2009",60.7,60.7,60.7,60.7,0
"Mar 26, 2009",60.6,60.6,60.6,60.6,150
"Mar 27, 2009",60.6,60.6,60.6,60.6,0
"Mar 28, 2009",60.5,55.1,60.5,55.1,75
"Mar 29, 2009",55.1,55.1,55.1,55.1,0
"Mar 30, 2009",55.1,55.1,55.1,55.1,0
"Mar 31, 2009",57,57,57,57,1
"Apr 1, 2009",57,57,57,57,0
"Apr 2, 2009",57,57,57,57,0
"Apr 3, 2009",65,61.7,65,65,97
"Apr 4, 2009",65,65,65.1,65.1,315
"Apr 5, 2009",65.1,65.1,65.1,65.1,0
"Apr 6, 2009",65,65,65.1,65,40
"Apr 7, 2009",65,65,65,65,1
"Apr 8, 2009",65,65,65,65,0
"Apr 9, 2009",65.1,65.1,65.1,65.1,1
"Apr 10, 2009",65,65,65,65,86
"Apr 11, 2009",65,65,65,65,5
"Apr 12, 2009",65,65,65,65,0
"Apr 13, 2009",65,65,65,65,0
"Apr 14, 2009",65,65,65,65,7
"Apr 15, 2009",65,65,65,65,0
"Apr 16, 2009",65,65,65,65,425
"Apr 17, 2009",65,65,65,65,0
"Apr 18, 2009",65,65,65,65,0
"Apr 19, 2009",65.1,65.1,65.1,65.1,11
"Apr 20, 2009",65.1,65.1,65.1,65.1,20
"Apr 21, 2009",65.1,65.1,75,67,544
"Apr 22, 2009",67.1,67.1,67.1,67.1,5
"Apr 23, 2009",69.8,68.9,70,70,98
"Apr 24, 2009",70,70,70,70,0
"Apr 25, 2009",70,70,70,70,30
"Apr 26, 2009",70,70,70,70,5
"Apr 27, 2009",70,70,70,70,2
"Apr 28, 2009",70,70,70.4,70.4,106
"Apr 29, 2009",70.4,70.4,70.4,70.4,0
"Apr 30, 2009",70,70,70.1,70,318
"May 1, 2009",70,70,70,70,0
"May 2, 2009",70,70,70,70,0
"May 3, 2009",70,70,70,70,0
"May 4, 2009",70,70,70,70,0
"May 5, 2009",68.9,68.9,68.9,68.9,1
"May 6, 2009",68.9,68.9,68.9,68.9,0
"May 7, 2009",68.9,68.9,68.9,68.9,0
"May 8, 2009",68.9,68.9,68.9,68.9,0
"May 9, 2009",68.8,68.8,68.8,68.8,10
"May 10, 2009",68.8,68.8,68.8,68.8,0
"May 11, 2009",68.8,68.8,68.8,68.8,0
"May 12, 2009",68.8,68.8,68.8,68.8,0
"May 13, 2009",68.8,68.8,68.8,68.8,0
"May 14, 2009",69.6,68.8,69.6,68.8,2
"May 15, 2009",68.8,68.8,68.8,68.8,0
"May 16, 2009",68.8,68.8,68.8,68.8,0
"May 17, 2009",67.1,67.1,67.3,67.1,15
"May 18, 2009",67.1,67.1,67.1,67.1,0
"May 19, 2009",68,67.5,68,68,30
"May 20, 2009",68,68,68,68,0
"May 21, 2009",68,68,68,68,0
"May 22, 2009",68,68,68,68,0
"May 23, 2009",68,68,68,68,0
"May 24, 2009",68,68,68,68,0
"May 25, 2009",68,68,68,68,0
"May 26, 2009",68,68,68,68,0
"May 27, 2009",68,68,68,68,0
"May 28, 2009",68,68,68,68,0
"May 29, 2009",68,68,68,68,0
"May 30, 2009",68,68,68,68,0
"May 31, 2009",68,68,68,68,0
"Jun 1, 2009",68,68,68,68,0
"Jun 2, 2009",67.1,67.1,67.1,67.1,2
"Jun 3, 2009",67.1,67.1,67.1,67.1,0
"Jun 4, 2009",67.1,67.1,67.1,67.1,0
"Jun 5, 2009",67.1,67.1,67.1,67.1,0
"Jun 6, 2009",67.1,67.1,67.1,67.1,0
"Jun 7, 2009",67.1,67.1,67.1,67.1,0
"Jun 8, 2009",67.8,67.8,67.8,67.8,1
"Jun 9, 2009",67.8,67.8,67.8,67.8,0
"Jun 10, 2009",67.8,67.8,67.8,67.8,0
"Jun 11, 2009",67.8,67.8,67.8,67.8,0
"Jun 12, 2009",67.8,67.8,67.8,67.8,0
"Jun 13, 2009",68,67.9,68,68,78
"Jun 14, 2009",68,68,68,68,0
"Jun 15, 2009",68,68,68,68,0
"Jun 16, 2009",68,68,68,68,0
"Jun 17, 2009",68.4,68,68.4,68,50
"Jun 18, 2009",68,68,68,68,0
"Jun 19, 2009",68,68,68,68,0
"Jun 20, 2009",68,68,68,68,0
"Jun 21, 2009",68,68,68,68,0
"Jun 22, 2009",68,68,68,68,0
"Jun 23, 2009",68,68,68,68,0
"Jun 24, 2009",68,68,68,68,0
"Jun 25, 2009",68,68,68,68,0
"Jun 26, 2009",68,68,68,68,1
"Jun 27, 2009",68,68,68,68,0
"Jun 28, 2009",69,69,69,69,35
"Jun 29, 2009",69,69,69,69,0
"Jun 30, 2009",69,69,69,69,0
"Jul 1, 2009",69,69,69,69,15
"Jul 2, 2009",70,69.1,70,69.1,36
"Jul 3, 2009",69.1,69.1,69.1,69.1,0
"Jul 4, 2009",70,69.8,70,70,30
"Jul 5, 2009",70,70,70,70,0
"Jul 6, 2009",70,70,70,70,0
"Jul 7, 2009",69.1,69.1,69.1,69.1,1
"Jul 8, 2009",69,69,69,69,21
"Jul 9, 2009",69,69,69,69,0
"Jul 10, 2009",69,69,69,69,29
"Jul 11, 2009",68,68,68,68,15
"Jul 12, 2009",68,68,68,68,0
"Jul 13, 2009",68,68,68,68,0
"Jul 14, 2009",68,68,68,68,0
"Jul 15, 2009",68,68,68,68,0
"Jul 16, 2009",68,68,68,68,30
"Jul 17, 2009",68,68,68,68,0
"Jul 18, 2009",68,68,68,68,0
"Jul 19, 2009",68,68,68,68,0
"Jul 20, 2009",68,68,68,68,48
"Jul 21, 2009",67.7,67.5,67.7,67.5,19
"Jul 22, 2009",67.5,65.1,67.5,65.2,147
"Jul 23, 2009",66,66,66,66,24
"Jul 24, 2009",66,66,66,66,0
"Jul 25, 2009",66,66,66,66,0
"Jul 26, 2009",65.3,65.3,65.3,65.3,30
"Jul 27, 2009",65.3,65.3,65.3,65.3,0
"Jul 28, 2009",65.3,65.3,65.3,65.3,0
"Jul 29, 2009",65.3,65.3,65.3,65.3,0
"Jul 30, 2009",66,66,66,66,16
"Jul 31, 2009",66,66,66,66,29
"Aug 1, 2009",66,66,66,66,0
"Aug 2, 2009",65.6,65.6,65.6,65.6,1
"Aug 3, 2009",65.6,65.6,65.6,65.6,0
"Aug 4, 2009",66,66,69.3,69.3,119
"Aug 5, 2009",66.1,65.6,66.1,65.6,14
"Aug 6, 2009",65.6,65.6,65.6,65.6,0
"Aug 7, 2009",65.8,65.8,65.8,65.8,1
"Aug 8, 2009",65.6,65.6,65.7,65.6,3
"Aug 9, 2009",65.6,65.6,65.6,65.6,36
"Aug 10, 2009",65.6,65.6,65.6,65.6,0
"Aug 11, 2009",65.6,65.6,65.6,65.6,0
"Aug 12, 2009",65.6,65.6,65.6,65.6,0
"Aug 13, 2009",66,66,66,66,15
"Aug 14, 2009",66,66,66,66,0
"Aug 15, 2009",65.3,65.3,66,65.3,200
"Aug 16, 2009",65.3,65.3,65.3,65.3,0
"Aug 17, 2009",65.3,65.3,65.3,65.3,0
"Aug 18, 2009",65.3,65.3,65.3,65.3,0
"Aug 19, 2009",65.3,65.3,65.3,65.3,0
"Aug 20, 2009",65.3,64.1,65.3,64.1,57
"Aug 21, 2009",64.1,64.1,64.1,64.1,0
"Aug 22, 2009",64.1,64.1,64.1,64.1,0
"Aug 23, 2009",64.1,64.1,64.1,64.1,0
"Aug 24, 2009",65.2,65.2,65.2,65.2,1
"Aug 25, 2009",65.2,65.2,65.2,65.2,0
"Aug 26, 2009",64,64,64,64,10
"Aug 27, 2009",63.4,63.4,63.4,63.4,20
"Aug 28, 2009",65.3,65.1,65.3,65.3,14
"Aug 29, 2009",65.3,65.3,65.3,65.3,0
"Aug 30, 2009",65.3,65.3,65.3,65.3,0
"Aug 31, 2009",65.3,65.3,65.3,65.3,0
"Sep 1, 2009",65.3,65.3,65.3,65.3,0
"Sep 2, 2009",65.3,65.3,65.3,65.3,0
"Sep 3, 2009",65.3,65.3,65.3,65.3,0
"Sep 4, 2009",65.3,65.3,65.3,65.3,0
"Sep 5, 2009",65.3,65.3,65.3,65.3,0
"Sep 6, 2009",65.3,65.3,65.3,65.3,0
"Sep 7, 2009",65.3,65.3,65.3,65.3,0
"Sep 8, 2009",65.3,65.3,65.3,65.3,0
"Sep 9, 2009",65.3,65.3,65.3,65.3,0
"Sep 10, 2009",65.2,65.2,65.2,65.2,5
"Sep 11, 2009",65.2,65.2,65.2,65.2,0
"Sep 12, 2009",65.2,65.2,65.2,65.2,0
"Sep 13, 2009",65.2,65.2,65.2,65.2,0
"Sep 14, 2009",65.2,65.2,65.2,65.2,0
"Sep 15, 2009",63.5,63.4,63.5,63.4,2
"Sep 16, 2009",63.4,63.4,63.4,63.4,0
"Sep 17, 2009",63.4,63.4,63.4,63.4,0
"Sep 18, 2009",63.4,63.4,63.4,63.4,0
"Sep 19, 2009",63.5,63.2,63.5,63.2,10
"Sep 20, 2009",63.2,63.2,63.2,63.2,0
"Sep 21, 2009",63.2,63.2,63.2,63.2,0
"Sep 22, 2009",63.2,63.2,63.2,63.2,0
"Sep 23, 2009",63.2,63.2,63.2,63.2,0
"Sep 24, 2009",63.2,63.2,63.2,63.2,0
"Sep 25, 2009",63.1,63.1,63.1,63.1,7
"Sep 26, 2009",63.1,63.1,63.1,63.1,0
"Sep 27, 2009",63.1,63.1,63.1,63.1,0
"Sep 28, 2009",63.1,63.1,63.1,63.1,0
"Sep 29, 2009",63,63,63.1,63,54
"Sep 30, 2009",63,63,63,63,0
"Oct 1, 2009",63,63,63,63,5
"Oct 2, 2009",63,63,63,63,0
"Oct 3, 2009",63,63,63,63,0
"Oct 4, 2009",63,63,63,63,0
"Oct 5, 2009",63.1,63.1,63.1,63.1,11
"Oct 6, 2009",63.1,63.1,63.1,63.1,29
"Oct 7, 2009",63.1,63.1,63.1,63.1,0
"Oct 8, 2009",63.1,63.1,63.1,63.1,0
"Oct 9, 2009",63.1,63.1,63.1,63.1,0
"Oct 10, 2009",63.1,63.1,63.1,63.1,0
"Oct 11, 2009",63.1,63.1,63.1,63.1,0
"Oct 12, 2009",63.1,63.1,63.1,63.1,0
"Oct 13, 2009",63.1,63.1,63.1,63.1,0
"Oct 14, 2009",63.1,63.1,63.1,63.1,0
"Oct 15, 2009",63.1,63.1,63.1,63.1,0
"Oct 16, 2009",64.5,64.5,64.7,64.7,2
"Oct 17, 2009",64.7,64.7,64.7,64.7,0
"Oct 18, 2009",64.7,64.7,64.7,64.7,2
"Oct 19, 2009",64.7,64.7,64.7,64.7,0
"Oct 20, 2009",64.7,64.7,64.7,64.7,0
"Oct 21, 2009",64.7,64.7,64.7,64.7,0
"Oct 22, 2009",64.7,64.7,64.7,64.7,0
"Oct 23, 2009",64.7,64.7,64.7,64.7,0
"Oct 24, 2009",64.7,64.7,64.7,64.7,0
"Oct 25, 2009",64.7,64.7,64.7,64.7,0
"Oct 26, 2009",64.7,64.7,64.7,64.7,0
"Oct 27, 2009",64.7,64.7,64.7,64.7,0
"Oct 28, 2009",64,63.5,64,63.5,2
"Oct 29, 2009",63.5,63.5,63.5,63.5,0
"Oct 30, 2009",63.5,63.5,63.5,63.5,0
"Oct 31, 2009",63.5,63.5,63.5,63.5,0
"Nov 1, 2009",63.5,63.5,63.5,63.5,0
"Nov 2, 2009",63.6,63.6,63.6,63.6,5
"Nov 3, 2009",63.6,63.6,63.6,63.6,0
"Nov 4, 2009",63.6,63.6,63.6,63.6,5
"Nov 5, 2009",64,63.6,64,63.6,5
"Nov 6, 2009",63.6,63.6,63.6,63.6,1
"Nov 7, 2009",63.6,63.6,63.6,63.6,0
"Nov 8, 2009",63.6,63.6,63.6,63.6,7
"Nov 9, 2009",63.6,63.6,63.6,63.6,0
"Nov 10, 2009",63.6,63.6,63.6,63.6,5
