market id,market symbol,market name,trade quantity,trade price,date/time [utc]
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,11.9,Feb/25/2005 17:42:15
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,12.0,Feb/25/2005 18:47:24
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,3,11.8,Feb/25/2005 22:11:18
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,11.9,Feb/25/2005 22:11:18
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,50,12.5,Feb/25/2005 22:11:18
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,4,12.0,Feb/25/2005 22:11:18
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,110,12.5,Feb/26/2005 02:51:26
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,5,12.5,Feb/26/2005 03:05:01
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,18,12.5,Feb/26/2005 03:06:15
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,10.0,Feb/26/2005 03:06:45
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,10.0,Feb/26/2005 03:06:45
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,12.6,Feb/26/2005 09:51:48
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,13.0,Feb/26/2005 09:52:11
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,10.8,Feb/27/2005 04:27:06
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,18,13.1,Feb/27/2005 19:16:15
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,50,12.8,Feb/27/2005 19:16:15
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,12.9,Feb/27/2005 19:16:15
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,13.7,Feb/27/2005 19:16:15
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,13.5,Feb/27/2005 19:16:15
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,13.9,Feb/27/2005 19:17:18
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,3,13.5,Feb/28/2005 03:48:36
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,10.6,Feb/28/2005 03:55:36
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,13.4,Feb/28/2005 11:05:21
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,12.0,Feb/28/2005 14:32:19
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,11.0,Mar/01/2005 01:18:31
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,4,11.0,Mar/01/2005 01:18:31
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,11.0,Mar/01/2005 01:33:35
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,3,12.6,Mar/01/2005 06:26:29
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,10.6,Mar/01/2005 09:00:52
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,12.6,Mar/01/2005 09:40:22
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,6,12.6,Mar/01/2005 09:40:22
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,12.7,Mar/01/2005 09:40:22
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,12.9,Mar/01/2005 09:40:22
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,12.7,Mar/01/2005 23:32:36
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,20,10.5,Mar/02/2005 00:39:48
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,8,10.6,Mar/02/2005 00:39:48
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,15,10.4,Mar/02/2005 00:39:48
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,25,10.3,Mar/02/2005 00:39:48
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,5,9.0,Mar/02/2005 00:58:51
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,9.1,Mar/03/2005 01:43:48
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,10.5,Mar/03/2005 20:58:32
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,10.0,Mar/03/2005 20:58:32
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,10,10.0,Mar/03/2005 20:58:32
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,4,10.9,Mar/05/2005 22:25:00
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,7,10.8,Mar/05/2005 22:25:00
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,10.5,Mar/05/2005 22:25:00
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,8,11.0,Mar/05/2005 22:25:00
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,10.0,Mar/06/2005 00:03:29
