market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-02-22,13.0,14.0,10.0,11.0,8,9,14.0,10.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-02-23,8.6,11.0,8.6,11.0,33,25,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-02-24,10.0,11.0,9.0,9.0,73,40,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-02-25,11.0,12.5,10.0,11.0,306,233,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-02-26,12.6,13.0,10.8,12.5,326,22,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-02-27,13.7,13.9,10.6,12.0,419,113,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-02-28,13.4,13.4,11.0,12.0,430,11,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-01,10.6,12.9,9.0,11.0,453,86,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-02,9.1,9.1,9.1,11.0,451,2,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-03,10.5,10.5,10.0,9.5,474,30,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-04,0.0,0.0,0.0,10.0,474,0,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-05,11.0,11.0,10.0,10.0,508,34,14.0,8.6
