market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-02-22,13.0,14.0,10.0,11.0,8,9,14.0,10.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-06,11.8,11.8,11.8,10.5,510,2,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-07,11.8,12.0,11.5,11.6,518,18,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-08,12.7,13.9,11.4,11.0,594,76,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-09,13.0,13.0,10.0,13.0,663,85,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-10,13.8,13.8,13.8,13.0,713,51,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-11,0.0,0.0,0.0,13.0,713,0,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-12,13.9,14.0,13.6,13.9,720,7,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-13,14.0,14.0,12.0,13.5,876,156,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-14,13.0,13.0,11.1,11.1,886,14,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-15,13.0,13.2,11.3,12.0,911,34,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-16,11.4,11.4,11.3,0.0,913,22,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-17,10.5,10.5,10.5,10.5,913,8,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-18,10.5,11.9,10.0,10.0,895,76,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-19,0.0,0.0,0.0,10.0,895,0,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-20,0.0,0.0,0.0,10.0,895,0,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-21,9.7,9.8,9.6,9.8,875,29,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-22,0.0,0.0,0.0,9.6,875,0,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-23,9.1,9.6,8.6,8.9,860,45,14.0,8.6
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-24,6.7,8.5,5.0,7.0,800,131,14.0,5.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-25,5.2,5.2,5.2,5.2,801,2,14.0,5.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-26,6.8,6.9,6.8,6.9,803,2,14.0,5.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-27,6.7,6.8,6.7,6.9,822,19,14.0,5.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-28,0.0,0.0,0.0,6.0,822,0,14.0,5.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-29,6.6,6.7,6.6,6.0,822,15,14.0,5.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-30,0.0,0.0,0.0,6.0,822,0,14.0,5.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-03-31,6.2,6.2,6.2,6.2,823,1,14.0,5.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-01,6.0,6.1,5.2,5.5,864,46,14.0,5.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-02,5.2,6.0,5.2,5.2,869,5,14.0,5.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-03,5.2,5.3,5.2,5.3,919,51,14.0,5.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-04,5.6,5.9,5.2,5.6,947,41,14.0,5.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-05,0.0,0.0,0.0,5.6,947,0,14.0,5.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-06,5.4,5.4,5.4,5.6,948,1,14.0,5.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-07,0.0,0.0,0.0,5.6,948,0,14.0,5.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-08,5.2,5.4,5.1,4.0,1082,288,14.0,5.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-09,4.0,4.0,4.0,4.0,1062,20,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-10,4.4,4.4,4.4,4.4,1057,5,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-11,4.8,4.8,4.8,4.4,1045,12,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-12,0.0,0.0,0.0,4.4,1045,0,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-13,4.4,4.4,4.4,3.5,1046,1,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-14,0.0,0.0,0.0,3.5,1046,0,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-15,4.9,4.9,4.9,4.9,1049,3,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-16,0.0,0.0,0.0,4.0,1049,0,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-17,4.9,4.9,4.7,4.2,1049,10,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-18,4.7,4.7,4.7,4.7,1058,9,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-19,0.0,0.0,0.0,4.7,1058,0,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-20,5.0,5.0,4.7,4.6,1158,100,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-21,4.4,4.4,4.4,4.6,1158,1,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-22,0.0,0.0,0.0,4.4,1158,0,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-23,4.8,4.8,4.8,4.4,1158,1,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-24,4.7,4.7,4.7,4.4,1158,3,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-25,4.2,4.2,4.2,4.2,1158,3,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-26,0.0,0.0,0.0,4.2,1158,0,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-27,4.0,4.0,4.0,4.0,1160,2,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-28,4.0,4.0,4.0,4.0,1163,3,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-29,0.0,0.0,0.0,4.0,1163,0,14.0,4.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-04-30,4.0,4.0,3.9,3.8,1168,6,14.0,3.9
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-01,4.2,4.3,4.2,4.2,1168,5,14.0,3.9
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-02,4.3,4.4,4.2,4.3,1209,48,14.0,3.9
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-03,0.0,0.0,0.0,4.3,1209,0,14.0,3.9
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-04,4.6,4.7,4.6,4.3,1206,4,14.0,3.9
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-05,1.2,3.9,1.2,3.0,1179,30,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-06,0.0,0.0,0.0,3.0,1179,0,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-07,5.0,5.2,2.6,4.0,1304,135,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-08,5.0,5.0,5.0,4.0,1303,1,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-09,5.0,5.0,5.0,4.0,1303,4,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-10,4.9,4.9,2.5,2.5,1303,52,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-11,0.0,0.0,0.0,2.5,1303,0,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-12,4.5,5.0,4.5,3.0,1363,60,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-13,0.0,0.0,0.0,5.0,1363,0,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-14,0.0,0.0,0.0,5.0,1363,0,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-15,4.0,4.4,4.0,4.0,1374,14,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-16,3.8,3.9,3.8,3.8,1395,21,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-17,4.0,4.1,4.0,4.5,1396,3,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-18,4.0,4.5,4.0,4.0,1497,101,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-19,0.0,0.0,0.0,4.0,1497,0,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-20,4.0,4.0,4.0,4.0,1497,1,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-21,3.6,3.6,3.6,3.6,1508,11,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-22,0.0,0.0,0.0,3.6,1508,0,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-23,0.0,0.0,0.0,3.6,1508,0,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-24,0.0,0.0,0.0,4.0,1508,0,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-25,4.0,4.0,3.9,4.0,1506,8,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-26,5.0,5.0,4.5,5.0,1502,7,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-27,4.6,4.6,4.1,4.3,1498,6,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-28,4.0,4.3,4.0,4.0,1483,19,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-29,4.0,4.0,4.0,4.0,1475,8,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-30,4.0,4.3,4.0,4.3,1467,16,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-05-31,4.2,4.2,4.1,4.1,1467,6,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-01,4.2,4.5,3.6,4.2,1501,56,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-02,3.6,3.6,3.0,3.6,1398,106,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-03,3.1,3.9,2.5,3.9,1401,11,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-04,3.6,4.9,3.6,3.0,1453,61,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-05,2.9,2.9,2.7,3.0,1412,42,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-06,2.7,5.0,2.7,5.0,1529,125,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-07,2.5,2.6,2.5,5.0,1550,27,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-08,0.0,0.0,0.0,3.0,1550,0,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-09,2.6,2.6,2.4,0.0,1543,29,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-10,2.2,2.2,2.2,2.4,1528,16,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-11,2.4,2.4,2.4,2.4,1528,20,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-12,0.0,0.0,0.0,2.4,1528,0,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-13,1.6,1.6,1.5,1.5,1525,4,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-14,0.0,0.0,0.0,1.7,1525,0,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-15,1.9,1.9,1.9,1.7,1525,20,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-16,1.8,1.8,1.8,1.7,1530,5,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-17,1.4,1.4,1.3,0.0,1535,56,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-18,1.5,1.5,1.3,1.3,1536,14,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-19,1.7,1.8,1.3,1.3,1463,92,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-20,1.2,1.2,1.2,1.2,1463,60,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-21,0.0,0.0,0.0,1.1,1463,0,14.0,1.2
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-22,1.1,1.1,1.1,1.1,1463,5,14.0,1.1
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-23,1.2,1.2,1.2,1.1,1463,4,14.0,1.1
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-24,0.0,0.0,0.0,1.1,1463,0,14.0,1.1
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-25,1.2,1.2,1.2,1.1,1464,1,14.0,1.1
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-26,0.0,0.0,0.0,1.1,1464,0,14.0,1.1
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-27,1.0,1.0,1.0,1.1,1465,21,14.0,1.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-28,1.0,1.0,1.0,1.1,1465,1,14.0,1.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-29,1.0,1.0,1.0,1.0,1458,88,14.0,1.0
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2005-06-29,0.0,0.0,0.0,1.0,0,0,14.0,1.0
