market id,market symbol,market name,trade quantity,trade price,date/time [utc]
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,50,47.0,Apr/19/2005 19:44:46
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,50.5,Apr/19/2005 20:53:41
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,50.6,Apr/19/2005 21:14:38
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,52.0,Apr/19/2005 21:32:13
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,10,52.0,Apr/20/2005 09:48:36
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,100,47.0,Apr/21/2005 09:47:40
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,10,47.5,Apr/21/2005 09:47:40
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,48.1,Apr/21/2005 09:47:40
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,47.6,Apr/21/2005 09:48:51
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,47.2,Apr/21/2005 20:10:12
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,35,46.3,Apr/21/2005 20:18:24
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,10,46.4,Apr/21/2005 20:18:24
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,47.1,Apr/21/2005 20:18:24
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,15,46.3,Apr/21/2005 20:27:51
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,46.6,Apr/21/2005 20:27:51
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,10,41.2,Apr/22/2005 12:09:33
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,41.0,Apr/22/2005 15:38:30
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,45.0,Apr/22/2005 16:03:28
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,4,46.0,Apr/22/2005 19:33:35
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,46.0,Apr/22/2005 19:35:32
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,45.5,Apr/22/2005 21:27:09
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,45.0,Apr/22/2005 22:52:20
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,44.5,Apr/23/2005 01:22:44
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,4,44.0,Apr/23/2005 03:33:39
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,43.0,Apr/23/2005 03:33:39
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,43.5,Apr/23/2005 09:34:04
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,43.5,Apr/23/2005 12:59:26
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,43.0,Apr/23/2005 12:59:26
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,42.5,Apr/23/2005 13:12:29
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,42.0,Apr/23/2005 19:27:38
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,40.9,Apr/24/2005 02:52:32
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,44.5,Apr/24/2005 09:53:43
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,42.0,Apr/24/2005 15:18:32
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,41.5,Apr/24/2005 19:59:08
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,10,42.0,Apr/24/2005 22:21:44
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,42.0,Apr/24/2005 22:22:16
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,10,41.0,Apr/25/2005 01:52:26
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,41.5,Apr/25/2005 01:52:26
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,30,41.7,Apr/25/2005 01:52:26
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,41.5,Apr/25/2005 01:52:26
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,2,42.0,Apr/25/2005 14:57:05
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,41.0,Apr/25/2005 14:57:21
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,41.0,Apr/25/2005 21:02:03
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,40.0,Apr/26/2005 04:09:18
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,38.6,Apr/26/2005 04:10:31
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,40.0,Apr/26/2005 08:41:09
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,4,40.0,Apr/26/2005 11:10:30
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,30,44.9,Apr/26/2005 11:18:07
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,44.0,Apr/26/2005 11:18:07
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,10,46.3,Apr/26/2005 11:18:07
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,49.9,Apr/26/2005 11:18:07
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,44.4,Apr/26/2005 18:23:05
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,4,44.4,Apr/26/2005 18:23:29
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,10,41.4,Apr/27/2005 12:15:24
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,10,41.3,Apr/27/2005 12:40:04
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,40.6,Apr/27/2005 13:12:28
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,30,40.6,Apr/27/2005 13:41:30
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,10,40.0,Apr/27/2005 16:17:27
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,40.2,Apr/27/2005 17:27:20
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,10,40.2,Apr/27/2005 17:42:03
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,20,40.3,Apr/27/2005 19:03:45
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,40.3,Apr/27/2005 19:07:11
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,2,41.2,Apr/27/2005 21:03:32
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,40.8,Apr/27/2005 21:09:32
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,40.7,Apr/27/2005 23:12:10
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,40.3,Apr/27/2005 23:12:29
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,4,40.0,Apr/27/2005 23:12:37
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,40.8,Apr/28/2005 21:49:05
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,40.8,Apr/28/2005 22:30:58
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,30,41.0,Apr/28/2005 22:43:38
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,2,41.0,Apr/28/2005 22:57:53
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,2,42.9,Apr/29/2005 14:03:41
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,2,42.9,Apr/29/2005 14:05:20
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,6,42.9,Apr/29/2005 23:30:12
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,20,43.0,Apr/30/2005 09:56:38
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,43.0,Apr/30/2005 10:26:51
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,43.0,Apr/30/2005 10:28:34
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,30,43.0,Apr/30/2005 10:38:32
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,43.0,Apr/30/2005 10:39:29
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,42.1,Apr/30/2005 12:22:37
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,37,43.0,Apr/30/2005 12:36:21
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,43.2,Apr/30/2005 14:20:12
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,43.3,Apr/30/2005 15:27:28
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,43.5,Apr/30/2005 17:10:51
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,10,44.0,Apr/30/2005 19:03:50
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,44.0,Apr/30/2005 19:03:50
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,2,43.1,May/01/2005 00:09:43
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,2,44.4,May/01/2005 02:07:03
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,44.5,May/01/2005 02:07:03
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,29,45.0,May/01/2005 02:12:23
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,71,45.0,May/01/2005 11:24:26
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,45.0,May/01/2005 11:24:26
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,45.5,May/01/2005 12:26:15
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,46.0,May/01/2005 12:26:15
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,9,48.0,May/01/2005 12:26:43
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,10,47.8,May/01/2005 12:26:43
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,46.5,May/01/2005 12:26:43
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,47.0,May/01/2005 12:29:13
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,47.5,May/01/2005 12:31:02
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,57,46.4,May/01/2005 12:34:06
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,48.0,May/01/2005 13:10:53
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,48.0,May/01/2005 13:19:07
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,48.5,May/01/2005 14:43:39
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,50.0,May/01/2005 17:15:29
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,42,50.0,May/01/2005 17:15:29
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,49.0,May/01/2005 17:15:29
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,49.5,May/01/2005 17:29:45
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,49.7,May/02/2005 02:39:38
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,49.8,May/02/2005 05:21:03
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,48.0,May/02/2005 10:09:00
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,5,50.0,May/02/2005 10:09:31
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,50.0,May/02/2005 10:09:51
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,48.0,May/02/2005 16:54:22
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,50.3,May/02/2005 22:05:39
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,50.8,May/02/2005 22:16:31
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,6,50.0,May/03/2005 00:32:58
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,10,51.9,May/03/2005 12:12:23
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,10,53.0,May/03/2005 13:13:38
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,14,53.0,May/03/2005 13:15:19
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,52.9,May/03/2005 14:39:34
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,52.9,May/03/2005 14:40:40
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,52.9,May/03/2005 17:27:56
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,6,52.9,May/03/2005 18:43:01
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,1,52.9,May/03/2005 19:50:52
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,20,53.0,May/03/2005 19:51:23
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,51.9,May/03/2005 19:57:41
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,51.9,May/03/2005 20:14:21
234745,EU.FRANCE.YES,France to Accept the EU Constitution in the referendum scheduled for May 29th, 05,3,52.3,May/03/2005 21:08:37
