market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
747478,SHEEN.TROUBLE.JUN11,Charlie Sheen to be arrested, in rehab or in hospital before midnight ET 30 Jun 2011,2011-03-12,50.0,50.0,50.0,50.0,1,1,50.0,50.0
747478,SHEEN.TROUBLE.JUN11,Charlie Sheen to be arrested, in rehab or in hospital before midnight ET 30 Jun 2011,2011-03-13,50.0,50.0,50.0,50.0,2,1,50.0,50.0
747478,SHEEN.TROUBLE.JUN11,Charlie Sheen to be arrested, in rehab or in hospital before midnight ET 30 Jun 2011,2011-03-14,0.0,0.0,0.0,50.0,2,0,50.0,50.0
747478,SHEEN.TROUBLE.JUN11,Charlie Sheen to be arrested, in rehab or in hospital before midnight ET 30 Jun 2011,2011-03-15,0.0,0.0,0.0,50.0,2,0,50.0,50.0
747478,SHEEN.TROUBLE.JUN11,Charlie Sheen to be arrested, in rehab or in hospital before midnight ET 30 Jun 2011,2011-03-16,50.0,50.0,49.0,50.0,8,6,50.0,49.0
747478,SHEEN.TROUBLE.JUN11,Charlie Sheen to be arrested, in rehab or in hospital before midnight ET 30 Jun 2011,2011-03-17,0.0,0.0,0.0,50.0,8,0,50.0,49.0
747478,SHEEN.TROUBLE.JUN11,Charlie Sheen to be arrested, in rehab or in hospital before midnight ET 30 Jun 2011,2011-03-18,50.0,50.0,50.0,50.0,9,1,50.0,49.0
747478,SHEEN.TROUBLE.JUN11,Charlie Sheen to be arrested, in rehab or in hospital before midnight ET 30 Jun 2011,2011-03-19,0.0,0.0,0.0,50.0,9,0,50.0,49.0
747478,SHEEN.TROUBLE.JUN11,Charlie Sheen to be arrested, in rehab or in hospital before midnight ET 30 Jun 2011,2011-03-20,0.0,0.0,0.0,50.0,9,0,50.0,49.0
747478,SHEEN.TROUBLE.JUN11,Charlie Sheen to be arrested, in rehab or in hospital before midnight ET 30 Jun 2011,2011-03-21,40.0,40.0,40.0,40.0,14,5,50.0,40.0
747478,SHEEN.TROUBLE.JUN11,Charlie Sheen to be arrested, in rehab or in hospital before midnight ET 30 Jun 2011,2011-03-22,0.0,0.0,0.0,40.0,14,0,50.0,40.0
747478,SHEEN.TROUBLE.JUN11,Charlie Sheen to be arrested, in rehab or in hospital before midnight ET 30 Jun 2011,2011-03-23,39.0,40.0,39.0,40.0,49,35,50.0,39.0
747478,SHEEN.TROUBLE.JUN11,Charlie Sheen to be arrested, in rehab or in hospital before midnight ET 30 Jun 2011,2011-03-24,0.0,0.0,0.0,40.0,49,0,50.0,39.0
747478,SHEEN.TROUBLE.JUN11,Charlie Sheen to be arrested, in rehab or in hospital before midnight ET 30 Jun 2011,2011-03-25,0.0,0.0,0.0,40.0,49,0,50.0,39.0
747478,SHEEN.TROUBLE.JUN11,Charlie Sheen to be arrested, in rehab or in hospital before midnight ET 30 Jun 2011,2011-03-26,0.0,0.0,0.0,40.0,49,0,50.0,39.0
747478,SHEEN.TROUBLE.JUN11,Charlie Sheen to be arrested, in rehab or in hospital before midnight ET 30 Jun 2011,2011-03-27,0.0,0.0,0.0,40.0,49,0,50.0,39.0
747478,SHEEN.TROUBLE.JUN11,Charlie Sheen to be arrested, in rehab or in hospital before midnight ET 30 Jun 2011,2011-03-28,30.1,30.1,30.1,30.1,50,1,50.0,30.1
