market id,market symbol,market name,trade quantity,trade price,date/time [utc]
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,1,35.0,Dec/20/2011 03:59:31
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,5,42.0,Dec/20/2011 03:59:57
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,3,42.0,Dec/20/2011 03:59:57
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,3,44.9,Dec/20/2011 04:00:18
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,1,44.9,Dec/20/2011 04:00:18
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,7,44.9,Dec/20/2011 04:00:18
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,1,30.0,Dec/21/2011 09:14:54
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,10,34.0,Dec/22/2011 14:01:57
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,1,35.0,Dec/23/2011 18:23:38
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,1,36.0,Dec/23/2011 18:23:38
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,1,35.0,Dec/23/2011 18:23:38
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,10,43.9,Dec/23/2011 22:11:21
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,1,43.9,Dec/23/2011 22:11:21
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,3,34.0,Dec/25/2011 13:38:01
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,2,43.9,Dec/26/2011 20:07:45
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,2,34.1,Dec/28/2011 05:00:04
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,2,34.1,Dec/28/2011 05:00:04
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,7,34.0,Dec/28/2011 05:00:04
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,5,23.0,Dec/29/2011 20:33:05
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,1,39.9,Dec/31/2011 16:50:39
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,1,39.9,Dec/31/2011 16:50:39
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,11,40.0,Dec/31/2011 16:51:00
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,2,30.0,Dec/31/2011 22:56:47
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,1,29.0,Jan/01/2012 16:29:45
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,12,29.1,Jan/01/2012 16:29:45
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,8,29.1,Jan/01/2012 16:29:45
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,3,30.0,Jan/01/2012 16:29:45
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,3,30.0,Jan/01/2012 16:29:45
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,15,29.0,Jan/01/2012 16:29:45
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,8,39.9,Jan/04/2012 02:37:17
753627,INDEPENDENT/3rdPARTY.CANDIDATE,Palin, Trump, Bloomberg, Paul OR Bachmann to run for President as Independent or 3rd party candidate,1,39.0,Jan/04/2012 02:37:17
