market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
762379,ABE.LINCOLN.VAMP.+$22.5M,Abraham Lincoln - Vampire Hunter to gross OVER $22.5M in opening weekend,2012-06-18,40.0,40.0,40.0,40.0,1,1,40.0,40.0
762379,ABE.LINCOLN.VAMP.+$22.5M,Abraham Lincoln - Vampire Hunter to gross OVER $22.5M in opening weekend,2012-06-19,40.0,40.0,40.0,40.0,3,2,40.0,40.0
762379,ABE.LINCOLN.VAMP.+$22.5M,Abraham Lincoln - Vampire Hunter to gross OVER $22.5M in opening weekend,2012-06-20,45.0,45.0,25.0,25.0,17,14,45.0,25.0
762379,ABE.LINCOLN.VAMP.+$22.5M,Abraham Lincoln - Vampire Hunter to gross OVER $22.5M in opening weekend,2012-06-21,,,,25.0,17,0,45.0,25.0
762379,ABE.LINCOLN.VAMP.+$22.5M,Abraham Lincoln - Vampire Hunter to gross OVER $22.5M in opening weekend,2012-06-22,50.0,50.0,6.0,6.0,37,21,50.0,6.0
762379,ABE.LINCOLN.VAMP.+$22.5M,Abraham Lincoln - Vampire Hunter to gross OVER $22.5M in opening weekend,2012-06-23,2.5,2.5,0.4,0.4,37,37,50.0,0.4
762379,ABE.LINCOLN.VAMP.+$22.5M,Abraham Lincoln - Vampire Hunter to gross OVER $22.5M in opening weekend,2012-06-24,0.3,0.3,0.3,0.3,337,300,50.0,0.3
