market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
760400,RAVEN.+$8.0M,The Raven to gross OVER $8.0M in opening weekend,2012-04-23,50.0,60.0,50.0,50.0,40,40,60.0,50.0
760400,RAVEN.+$8.0M,The Raven to gross OVER $8.0M in opening weekend,2012-04-24,,,,50.0,40,0,60.0,50.0
760400,RAVEN.+$8.0M,The Raven to gross OVER $8.0M in opening weekend,2012-04-25,75.0,75.0,75.0,75.0,55,15,75.0,50.0
760400,RAVEN.+$8.0M,The Raven to gross OVER $8.0M in opening weekend,2012-04-26,,,,75.0,55,0,75.0,50.0
760400,RAVEN.+$8.0M,The Raven to gross OVER $8.0M in opening weekend,2012-04-27,50.0,50.0,50.0,50.0,55,40,75.0,50.0
760400,RAVEN.+$8.0M,The Raven to gross OVER $8.0M in opening weekend,2012-04-28,59.0,59.0,59.0,59.0,56,1,75.0,50.0
760400,RAVEN.+$8.0M,The Raven to gross OVER $8.0M in opening weekend,2012-04-29,5.0,25.0,2.0,19.5,44,38,75.0,2.0
760400,RAVEN.+$8.0M,The Raven to gross OVER $8.0M in opening weekend,2012-04-30,,,,19.5,44,0,75.0,2.0
