market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-14,0.0,0.0,0.0,0.0,0,0,0.0,0.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-15,20.0,26.0,20.0,25.0,76,246,26.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-16,24.0,24.0,23.0,23.0,78,2,26.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-17,22.0,32.0,22.0,32.0,84,7,32.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-18,35.0,35.0,26.0,32.0,129,59,35.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-19,22.0,22.0,22.0,22.0,131,2,35.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-20,0.0,0.0,0.0,22.0,131,0,35.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-21,20.0,20.0,20.0,20.0,131,14,35.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-22,26.0,35.0,24.0,33.0,441,338,35.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-23,35.0,35.0,32.7,33.0,485,66,35.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-24,32.9,39.8,32.9,39.6,527,57,39.8,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-25,39.65,50.0,39.5,44.0,998,473,50.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-26,45.0,45.0,43.5,43.5,1057,68,50.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-27,40.0,45.0,36.1,42.5,1264,213,50.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-28,44.4,56.8,44.4,47.5,1270,115,56.8,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-29,51.0,51.0,45.0,50.0,1293,101,56.8,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-30,49.0,58.0,44.0,58.0,1358,111,58.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-07-31,56.0,58.6,43.2,43.2,1437,82,58.6,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-01,47.5,47.5,47.5,47.5,1437,1,58.6,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-02,55.0,59.0,49.5,59.0,1586,161,59.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-03,58.9,58.9,49.0,49.0,1591,10,59.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-04,57.4,57.5,49.0,57.5,1612,38,59.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-05,58.5,58.5,48.4,54.0,1875,286,59.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-06,54.4,54.4,54.0,54.0,2025,152,59.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-07,49.8,59.0,49.0,59.0,2029,98,59.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-08,58.0,58.0,52.0,52.0,2035,14,59.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-09,52.0,52.0,52.0,52.0,2039,4,59.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-10,53.0,53.0,48.0,48.0,2120,145,59.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-11,53.0,56.0,50.0,56.0,2216,107,59.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-12,60.0,62.4,56.0,62.0,2428,266,62.4,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-13,60.0,60.0,54.0,55.0,2494,208,62.4,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-14,57.5,60.0,57.4,60.0,2549,57,62.4,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-15,0.0,0.0,0.0,60.0,2549,0,62.4,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-16,50.0,50.0,45.0,45.0,2613,306,62.4,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-17,55.0,55.0,53.9,55.0,2608,43,62.4,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-18,0.0,0.0,0.0,55.0,2608,0,62.4,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-19,52.0,92.9,51.0,90.0,2860,401,92.9,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-20,91.5,91.5,70.0,80.0,2962,167,92.9,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-21,79.0,81.0,78.5,79.9,3135,173,92.9,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-22,80.0,82.5,80.0,80.0,3239,127,92.9,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-23,78.0,80.0,75.0,79.9,3447,254,92.9,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-24,79.9,95.0,79.1,94.9,4169,949,95.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-25,94.5,95.0,85.0,87.5,4237,186,95.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-26,85.0,89.0,84.1,84.1,4292,124,95.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-27,86.0,91.1,84.0,85.6,4348,195,95.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-28,84.0,89.5,81.0,89.5,4385,204,95.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-29,88.9,88.9,80.0,80.0,4507,177,95.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-30,82.0,85.0,79.9,79.9,4527,94,95.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-08-31,75.0,76.0,72.0,72.0,4512,21,95.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-09-01,74.0,79.8,74.0,78.0,4512,49,95.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-09-02,75.0,75.0,65.0,65.0,4523,35,95.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-09-03,65.0,70.0,65.0,70.0,4520,24,95.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-09-04,70.0,70.0,70.0,70.0,4528,20,95.0,20.0
687199,JACKSON.MURDER.DEC09,Person(s) to be charged with manslaughter, homicide or other unlawful killing of Michael Jackson.,2009-09-05,72.0,72.0,72.0,72.0,4529,1,95.0,20.0
