market id,market symbol,market name,trade quantity,trade price,date/time [utc]
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,62.9,Aug/10/2004 17:22:48
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,25,62.9,Aug/10/2004 18:13:46
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,62.9,Aug/11/2004 05:29:28
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,4,61.0,Aug/11/2004 14:54:23
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,62.1,Aug/12/2004 05:03:35
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,8,62.0,Aug/12/2004 05:03:35
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,62.0,Aug/12/2004 05:11:12
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,4,62.4,Aug/15/2004 15:03:57
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,62.4,Aug/15/2004 15:03:57
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,62.7,Aug/15/2004 17:51:16
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,62.5,Aug/15/2004 17:51:16
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,7,62.4,Aug/16/2004 02:29:09
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,3,60.0,Aug/18/2004 00:51:47
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,62.0,Aug/21/2004 00:42:24
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,62.8,Aug/22/2004 01:31:17
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,8,62.8,Aug/22/2004 01:31:17
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,62.8,Aug/22/2004 01:31:17
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,62.9,Aug/22/2004 01:31:30
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,100,63.0,Aug/22/2004 01:31:38
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,6,63.8,Aug/22/2004 03:27:41
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,62.4,Aug/24/2004 18:27:10
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,62.5,Aug/24/2004 18:27:10
