market id,market symbol,market name,trade quantity,trade price,date/time [utc]
251850,GITMO.CLOSURE.SEP05,US Dept of Defence to annouce the closure of the Guantanamo Detention Facility before Sept 30, 2005,2,15.1,Jun/09/2005 19:57:50
251850,GITMO.CLOSURE.SEP05,US Dept of Defence to annouce the closure of the Guantanamo Detention Facility before Sept 30, 2005,1,19.4,Jun/10/2005 01:53:43
251850,GITMO.CLOSURE.SEP05,US Dept of Defence to annouce the closure of the Guantanamo Detention Facility before Sept 30, 2005,100,15.0,Jun/10/2005 04:06:45
251850,GITMO.CLOSURE.SEP05,US Dept of Defence to annouce the closure of the Guantanamo Detention Facility before Sept 30, 2005,3,15.1,Jun/10/2005 04:06:45
251850,GITMO.CLOSURE.SEP05,US Dept of Defence to annouce the closure of the Guantanamo Detention Facility before Sept 30, 2005,1,10.0,Jun/11/2005 10:45:04
251850,GITMO.CLOSURE.SEP05,US Dept of Defence to annouce the closure of the Guantanamo Detention Facility before Sept 30, 2005,1,10.0,Jun/11/2005 10:45:04
251850,GITMO.CLOSURE.SEP05,US Dept of Defence to annouce the closure of the Guantanamo Detention Facility before Sept 30, 2005,2,15.2,Jun/12/2005 08:01:49
251850,GITMO.CLOSURE.SEP05,US Dept of Defence to annouce the closure of the Guantanamo Detention Facility before Sept 30, 2005,1,10.0,Jun/12/2005 11:52:06
251850,GITMO.CLOSURE.SEP05,US Dept of Defence to annouce the closure of the Guantanamo Detention Facility before Sept 30, 2005,1,10.0,Jun/12/2005 11:52:06
251850,GITMO.CLOSURE.SEP05,US Dept of Defence to annouce the closure of the Guantanamo Detention Facility before Sept 30, 2005,1,13.2,Jun/12/2005 23:08:57
251850,GITMO.CLOSURE.SEP05,US Dept of Defence to annouce the closure of the Guantanamo Detention Facility before Sept 30, 2005,3,10.0,Jun/16/2005 18:19:55
251850,GITMO.CLOSURE.SEP05,US Dept of Defence to annouce the closure of the Guantanamo Detention Facility before Sept 30, 2005,1,10.0,Jun/17/2005 01:01:35
251850,GITMO.CLOSURE.SEP05,US Dept of Defence to annouce the closure of the Guantanamo Detention Facility before Sept 30, 2005,2,7.5,Jun/17/2005 01:01:51
