market id,market symbol,market name,trade quantity,trade price,date/time [utc]
356359,PM.BLAIR.RESIGN.SEP06,Tony Blair to leave the Office of Prime Minister on or before Sept 30th, 2006,10,24.0,May/14/2006 23:01:23
356359,PM.BLAIR.RESIGN.SEP06,Tony Blair to leave the Office of Prime Minister on or before Sept 30th, 2006,1,23.0,May/14/2006 23:01:23
356359,PM.BLAIR.RESIGN.SEP06,Tony Blair to leave the Office of Prime Minister on or before Sept 30th, 2006,1,30.0,May/15/2006 15:33:11
356359,PM.BLAIR.RESIGN.SEP06,Tony Blair to leave the Office of Prime Minister on or before Sept 30th, 2006,1,21.0,May/16/2006 22:15:26
356359,PM.BLAIR.RESIGN.SEP06,Tony Blair to leave the Office of Prime Minister on or before Sept 30th, 2006,5,18.0,May/18/2006 21:23:06
356359,PM.BLAIR.RESIGN.SEP06,Tony Blair to leave the Office of Prime Minister on or before Sept 30th, 2006,1,10.6,May/27/2006 00:53:06
356359,PM.BLAIR.RESIGN.SEP06,Tony Blair to leave the Office of Prime Minister on or before Sept 30th, 2006,2,9.0,May/27/2006 00:53:16
356359,PM.BLAIR.RESIGN.SEP06,Tony Blair to leave the Office of Prime Minister on or before Sept 30th, 2006,4,10.0,Jun/18/2006 18:12:49
356359,PM.BLAIR.RESIGN.SEP06,Tony Blair to leave the Office of Prime Minister on or before Sept 30th, 2006,1,10.2,Jun/21/2006 00:52:16
356359,PM.BLAIR.RESIGN.SEP06,Tony Blair to leave the Office of Prime Minister on or before Sept 30th, 2006,2,10.5,Jun/22/2006 09:34:03
356359,PM.BLAIR.RESIGN.SEP06,Tony Blair to leave the Office of Prime Minister on or before Sept 30th, 2006,1,10.2,Jun/22/2006 09:34:03
356359,PM.BLAIR.RESIGN.SEP06,Tony Blair to leave the Office of Prime Minister on or before Sept 30th, 2006,2,8.1,Jun/22/2006 09:34:03
356359,PM.BLAIR.RESIGN.SEP06,Tony Blair to leave the Office of Prime Minister on or before Sept 30th, 2006,1,8.5,Jun/24/2006 01:59:04
356359,PM.BLAIR.RESIGN.SEP06,Tony Blair to leave the Office of Prime Minister on or before Sept 30th, 2006,5,10.0,Jun/28/2006 14:01:50
356359,PM.BLAIR.RESIGN.SEP06,Tony Blair to leave the Office of Prime Minister on or before Sept 30th, 2006,10,15.0,Jun/28/2006 16:13:44
356359,PM.BLAIR.RESIGN.SEP06,Tony Blair to leave the Office of Prime Minister on or before Sept 30th, 2006,1,14.8,Jun/29/2006 19:33:43
356359,PM.BLAIR.RESIGN.SEP06,Tony Blair to leave the Office of Prime Minister on or before Sept 30th, 2006,4,6.1,Jul/05/2006 11:00:20
