market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-11,0.0,0.0,0.0,15.0,0,0,0.0,0.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-12,0.0,0.0,0.0,7.0,0,0,0.0,0.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-13,0.0,0.0,0.0,7.0,0,0,0.0,0.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-14,0.0,0.0,0.0,7.0,0,0,0.0,0.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-15,0.0,0.0,0.0,7.0,0,0,0.0,0.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-16,5.7,5.8,5.7,4.1,2,2,5.8,5.7
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-17,4.2,4.3,4.2,4.5,0,2,5.8,4.2
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-18,0.0,0.0,0.0,4.5,0,0,5.8,4.2
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-19,0.0,0.0,0.0,4.5,0,0,5.8,4.2
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-20,0.0,0.0,0.0,4.5,0,0,5.8,4.2
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-21,0.0,0.0,0.0,4.5,0,0,5.8,4.2
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-22,0.0,0.0,0.0,2.0,0,0,5.8,4.2
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-23,0.0,0.0,0.0,2.0,0,0,5.8,4.2
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-24,0.0,0.0,0.0,2.0,0,0,5.8,4.2
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-25,0.0,0.0,0.0,2.0,0,0,5.8,4.2
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-26,0.0,0.0,0.0,2.0,0,0,5.8,4.2
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-27,1.0,1.0,1.0,1.0,1,1,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-28,0.0,0.0,0.0,1.0,1,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-29,0.0,0.0,0.0,1.0,1,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-30,0.0,0.0,0.0,1.0,1,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-05-31,0.0,0.0,0.0,1.0,1,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-01,0.0,0.0,0.0,1.0,1,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-02,0.0,0.0,0.0,1.0,1,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-03,1.0,1.0,1.0,1.0,31,30,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-04,0.0,0.0,0.0,1.0,31,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-05,0.0,0.0,0.0,1.0,31,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-06,0.0,0.0,0.0,1.0,31,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-07,0.0,0.0,0.0,1.0,31,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-08,0.0,0.0,0.0,1.0,31,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-09,0.0,0.0,0.0,0.0,31,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-10,0.0,0.0,0.0,1.0,31,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-11,0.0,0.0,0.0,1.0,31,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-12,0.0,0.0,0.0,1.0,31,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-13,1.2,1.2,1.2,1.0,33,2,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-14,0.0,0.0,0.0,1.0,33,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-15,0.0,0.0,0.0,1.0,33,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-16,0.0,0.0,0.0,1.0,33,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-17,1.2,1.2,1.2,1.2,38,5,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-18,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-19,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-20,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-21,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-22,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-23,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-24,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-25,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-26,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-27,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-28,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-29,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-06-30,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-01,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-02,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-03,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-04,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-05,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-06,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-07,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-08,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-09,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-10,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-11,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-12,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-13,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-14,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-15,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-16,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-17,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-18,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-19,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-20,0.0,0.0,0.0,1.0,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-21,0.0,0.0,0.0,0.4,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-22,0.0,0.0,0.0,0.4,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-23,0.0,0.0,0.0,0.4,38,0,5.8,1.0
242526,PM.BLAIR.RESIGN.JUL05,Tony Blair to leave the Office of Prime Minister on or before July 31st, 2005,2005-07-24,0.0,0.0,0.0,0.4,38,0,5.8,1.0
