market id,market symbol,market name,business day,session open,session high,session low,closing price,open interest,session trade volume,lifetime high,lifetime low
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-11-15,0.0,0.0,0.0,0.0,0,0,0.0,0.0
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-11-16,0.0,0.0,0.0,0.5,0,0,0.0,0.0
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-11-17,0.0,0.0,0.0,0.3,0,0,0.0,0.0
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-11-18,0.0,0.0,0.0,0.3,0,0,0.0,0.0
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-11-19,0.9,0.9,0.9,0.5,10,10,0.9,0.9
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-11-20,0.0,0.0,0.0,0.5,10,0,0.9,0.9
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-11-21,0.0,0.0,0.0,0.5,10,0,0.9,0.9
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-11-22,0.0,0.0,0.0,0.5,10,0,0.9,0.9
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-11-23,0.0,0.0,0.0,0.7,10,0,0.9,0.9
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-11-24,0.0,0.0,0.0,0.7,10,0,0.9,0.9
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-11-25,0.0,0.0,0.0,0.7,10,0,0.9,0.9
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-11-26,0.0,0.0,0.0,0.7,10,0,0.9,0.9
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-11-27,0.0,0.0,0.0,0.7,10,0,0.9,0.9
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-11-28,0.0,0.0,0.0,0.7,10,0,0.9,0.9
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-11-29,0.0,0.0,0.0,0.7,10,0,0.9,0.9
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-11-30,0.0,0.0,0.0,0.7,10,0,0.9,0.9
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-12-01,0.4,0.4,0.4,0.7,10,10,0.9,0.4
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-12-02,0.0,0.0,0.0,1.0,10,0,0.9,0.4
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-12-03,1.0,1.0,1.0,1.0,40,30,1.0,0.4
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-12-04,1.0,1.0,1.0,0.0,60,20,1.0,0.4
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-12-05,0.0,0.0,0.0,0.7,60,0,1.0,0.4
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-12-06,0.0,0.0,0.0,0.7,60,0,1.0,0.4
180404,2008.GOP.NOM.DOLE(E),Elizabeth Dole to be the Republican Presidential Nominee in 2008,2004-12-07,0.0,0.0,0.0,0.7,60,0,1.0,0.4
